DateTime;Meteo_VitesseVent;Meteo_Temperature;Meteo_Pression;Meteo_IntensitePluie;Meteo_Humidite;Meteo_Ensoleillement;Meteo_DirectionVent;Gen_Temp222;Gen_Temp134;Gen_Temp133
21/03/2010 00:00;1,1;12,4;1011,9;0;77,2;0;241;18,4;21,2;20,4
21/03/2010 00:01;1,2;12,4;1011,9;0;77,2;0;239;18,4;21,2;20,4
21/03/2010 00:02;2,2;12,4;1011,9;0;77,2;0;181;18,4;20,8;20,4
21/03/2010 00:03;2,4;12,4;1011,9;0;77,1;0;195;18,4;20,8;20,4
21/03/2010 00:04;3,6;12,4;1011,9;0;77;0;194;18,4;21,2;20,4
21/03/2010 00:05;3,1;12,4;1011,9;0;77;0;203;18,4;20,8;20,4
21/03/2010 00:06;1,6;12,4;1012;0;76,9;0;173;18,4;20,8;20,4
21/03/2010 00:07;1,6;12,4;1011,9;0;76,9;0;237;18,4;20,8;20,4
21/03/2010 00:08;1,5;12,4;1012;0;76,7;0;231;18,4;20,8;20,4
21/03/2010 00:09;3,8;12,4;1012;0;76,6;0;187;18,4;21,2;20,4
21/03/2010 00:10;3,7;12,4;1011,9;0;76,5;0;201;18,4;21,2;20,4
21/03/2010 00:11;1,3;12,4;1011,9;0;76,4;0;153;18,4;20,8;20,4
21/03/2010 00:12;1,3;12,4;1011,9;0;76,2;0;200;18,4;21,2;20,4
21/03/2010 00:13;0,9;12,4;1011,9;0;76,2;0;172;18,4;21,2;20,4
21/03/2010 00:14;2,1;12,4;1011,9;0;76,2;0;237;18,4;21,2;20,4
21/03/2010 00:15;1,1;12,4;1011,9;0;76,1;0;192;18,4;20,8;20,4
21/03/2010 00:16;2,4;12,4;1012;0;76,1;0;122;18,4;20,8;20,4
21/03/2010 00:17;3,1;12,4;1011,9;0;76;0;219;18,4;21,2;20,4
21/03/2010 00:18;4,9;12,4;1012;0;75,9;0;184;18,4;21,2;20,4
21/03/2010 00:19;2,6;12,4;1012;0;75,6;0;166;18,4;21,2;20,4
21/03/2010 00:20;2,7;12,4;1012;0;75,6;0;159;18,4;21,2;20,4
21/03/2010 00:21;0;12,4;1011,9;0;75,4;0;353;18,4;21,2;20,4
21/03/2010 00:22;2,7;12,4;1011,9;0;75,3;0;196;18,4;21,2;20,4
21/03/2010 00:23;3,6;12,4;1011,9;0;75,2;0;197;18,4;21,2;20,4
21/03/2010 00:24;1,4;12,4;1011,8;0;75,2;0;295;18,4;21,2;20,4
21/03/2010 00:25;5,4;12,4;1011,9;0;75,2;0;147;18,4;21,2;20,4
21/03/2010 00:26;2,2;12,4;1011,8;0;75,1;0;218;18,4;21,2;20,4
21/03/2010 00:27;0,7;12,4;1011,8;0;75;0;96;18,4;21,2;20,4
21/03/2010 00:28;2,3;12,4;1011,8;0;75;0;180;18,4;21,2;20,4
21/03/2010 00:29;2,4;12,4;1011,8;0;74,9;0;179;18,4;21,2;20,4
21/03/2010 00:30;3,8;12,4;1011,8;0;75;0;163;18,4;21,2;20,4
21/03/2010 00:31;3,4;12,4;1011,8;0;74,7;0;187;18,4;21,2;20,4
21/03/2010 00:32;2,6;12,4;1011,8;0;74,6;0;145;18,4;21,2;20,4
21/03/2010 00:33;5,4;12,4;1011,9;0;74,5;0;181;18,4;21,2;20,4
21/03/2010 00:34;2,2;12,4;1011,7;0;74,5;0;190;18,4;21,2;20,4
21/03/2010 00:35;6,5;12,4;1011,9;0;74,6;0;171;18,4;21,2;20,4
21/03/2010 00:36;4;12,4;1011,8;0;74,3;0;125;18,4;21,2;20,4
21/03/2010 00:37;1,9;12,4;1011,7;0;74,2;0;166;18,4;21,2;20,4
21/03/2010 00:38;2,6;12,4;1011,7;0;74,3;0;166;18,4;21,2;20,4
21/03/2010 00:39;2,6;12,4;1011,7;0;74,4;0;165;18,4;21,2;20,4
21/03/2010 00:40;1,4;12,4;1011,7;0;74,3;0;231;18,4;21,2;20,4
21/03/2010 00:41;4,1;12,4;1011,6;0;74,2;0;222;18,4;21,2;20,4
21/03/2010 00:42;1,7;12,4;1011,7;0;74,3;0;174;18,4;21,2;20,4
21/03/2010 00:43;6,3;12,4;1011,5;0;74,1;0;230;18,4;21,2;20,4
21/03/2010 00:44;2,6;12,4;1011,7;0;74,1;0;222;18,4;21,2;20,4
21/03/2010 00:45;3,7;12,4;1011,7;0;74;0;189;18,4;21,2;20,4
21/03/2010 00:46;0,7;12,4;1011,6;0;74;0;282;18,4;21,2;20,4
21/03/2010 00:47;2,2;12,4;1011,7;0;74,1;0;178;18,4;21,2;20,4
21/03/2010 00:48;1,2;12,4;1011,7;0;74,1;0;308;18,4;21,2;20,4
21/03/2010 00:49;1,9;12,4;1011,7;0;74,1;0;175;18,4;21,2;20,4
21/03/2010 00:50;3,6;12,4;1011,7;0;73,8;0;171;18,4;21,2;20,4
21/03/2010 00:51;1,4;12,4;1011,6;0;73,8;0;202;18,4;21,2;20,4
